City,Year,PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI
Ahmedabad,2015,48.57,95.68,18.22,15.85,0.92,27.64,133.36,118.0
Ahmedabad,2015,48.57,95.68,15.69,15.85,0.97,24.55,34.06,118.0
Ahmedabad,2015,48.57,95.68,19.3,15.85,17.4,29.07,30.7,118.0
Ahmedabad,2015,48.57,95.68,18.48,15.85,1.7,18.59,36.08,118.0
Ahmedabad,2015,48.57,95.68,21.42,15.85,22.1,39.33,39.31,118.0
Ahmedabad,2015,48.57,95.68,38.48,15.85,45.41,45.76,46.51,118.0
Ahmedabad,2015,48.57,95.68,40.62,15.85,112.16,32.28,33.47,118.0
Ahmedabad,2015,48.57,95.68,36.74,15.85,80.87,38.54,31.89,118.0
Ahmedabad,2015,48.57,95.68,31.0,15.85,29.16,58.68,25.75,118.0
Ahmedabad,2015,48.57,95.68,7.04,15.85,0.89,8.29,4.55,118.0
Ahmedabad,2015,48.57,95.68,55.8,15.85,132.07,25.03,6.79,118.0
Ahmedabad,2015,48.57,95.68,40.67,15.85,52.04,51.84,45.89,118.0
Ahmedabad,2015,48.57,95.68,44.2,15.85,48.82,68.21,35.16,118.0
Ahmedabad,2015,48.57,95.68,27.86,15.85,19.2,52.65,20.96,118.0
Ahmedabad,2015,48.57,95.68,16.96,15.85,0.6,28.89,47.63,118.0
Ahmedabad,2015,48.57,95.68,21.72,15.85,1.63,38.27,46.03,118.0
Ahmedabad,2015,48.57,95.68,24.73,15.85,11.44,49.5,52.24,118.0
Ahmedabad,2015,48.57,95.68,25.77,15.85,6.1,48.43,53.49,118.0
Ahmedabad,2015,48.57,95.68,26.88,15.85,2.51,50.03,49.48,118.0
Ahmedabad,2015,48.57,95.68,26.8,15.85,7.92,58.87,56.37,118.0
Ahmedabad,2015,48.57,95.68,33.56,15.85,9.52,106.93,48.75,118.0
Ahmedabad,2015,48.57,95.68,17.51,15.85,9.05,23.71,42.22,118.0
Ahmedabad,2015,48.57,95.68,27.96,15.85,22.53,39.19,32.92,118.0
Ahmedabad,2015,48.57,95.68,20.39,15.85,2.03,40.07,32.49,118.0
Ahmedabad,2015,48.57,95.68,20.43,15.85,1.42,58.41,39.26,118.0
Ahmedabad,2015,48.57,95.68,21.16,15.85,2.27,43.73,39.83,118.0
Ahmedabad,2015,48.57,95.68,21.7,15.85,2.19,43.28,41.1,118.0
Ahmedabad,2015,73.24,95.68,21.11,15.85,5.72,36.52,62.42,118.0
Ahmedabad,2015,83.13,95.68,28.71,15.85,6.93,49.52,59.76,209.0
Ahmedabad,2015,79.84,95.68,28.68,15.85,13.85,48.49,97.07,328.0
Ahmedabad,2015,94.52,95.68,32.66,15.85,24.39,67.39,111.33,514.0
Ahmedabad,2015,135.99,95.68,42.08,15.85,43.48,75.23,102.7,782.0
Ahmedabad,2015,178.33,95.68,35.31,15.85,54.56,55.04,107.38,914.0
Ahmedabad,2015,139.7,95.68,28.4,15.85,30.61,33.79,73.6,660.0
Ahmedabad,2015,80.65,95.68,22.83,15.85,2.37,25.73,47.3,294.0
Ahmedabad,2015,58.36,95.68,21.39,15.85,2.6,32.66,53.54,149.0
Ahmedabad,2015,79.29,95.68,26.94,15.85,1.16,67.41,59.3,190.0
Ahmedabad,2015,88.7,95.68,31.32,15.85,7.29,80.09,44.76,247.0
Ahmedabad,2015,74.28,95.68,27.3,15.85,8.92,54.28,47.42,379.0
Ahmedabad,2015,113.93,95.68,24.27,15.85,4.32,48.73,39.94,341.0
Ahmedabad,2015,105.39,95.68,18.21,15.85,1.41,35.91,56.15,256.0
Ahmedabad,2015,66.52,95.68,23.8,15.85,6.34,66.58,53.14,388.0
Ahmedabad,2015,65.04,95.68,30.1,15.85,14.19,65.91,31.88,288.0
Ahmedabad,2015,103.36,95.68,39.56,15.85,18.18,80.43,40.11,510.0
Ahmedabad,2015,177.33,95.68,47.58,15.85,37.49,99.72,36.47,761.0
Ahmedabad,2015,113.25,95.68,30.5,15.85,15.55,69.71,33.78,475.0
Ahmedabad,2015,99.7,95.68,28.1,15.85,19.85,73.23,30.57,536.0
Ahmedabad,2015,80.61,95.68,21.04,15.85,15.96,54.7,36.2,479.0
Ahmedabad,2015,100.79,95.68,25.93,15.85,16.24,43.11,37.43,592.0
Ahmedabad,2015,107.99,95.68,30.09,15.85,11.25,84.86,31.94,427.0
Ahmedabad,2015,140.29,95.68,36.14,15.85,33.84,101.53,40.98,588.0
Ahmedabad,2015,239.96,95.68,46.25,15.85,61.95,84.87,33.55,1141.0
Ahmedabad,2015,142.96,95.68,48.21,15.85,45.45,62.96,34.77,669.0
Ahmedabad,2015,238.41,95.68,55.07,15.85,77.7,89.07,37.3,1247.0
Ahmedabad,2015,118.72,95.68,32.01,15.85,12.56,61.54,38.8,411.0
Ahmedabad,2015,52.99,95.68,10.45,15.85,2.23,32.76,67.25,292.0
Ahmedabad,2015,48.57,95.68,21.69,15.85,0.89,9.16,30.84,118.0
Ahmedabad,2015,61.12,95.68,16.81,15.85,3.58,28.44,30.48,118.0
Ahmedabad,2015,60.78,95.68,18.21,15.85,9.07,29.48,34.75,189.0
Ahmedabad,2015,91.83,95.68,28.71,15.85,12.99,39.71,38.46,408.0
Ahmedabad,2015,93.88,95.68,29.38,15.85,18.21,62.75,46.79,383.0
Ahmedabad,2015,173.01,95.68,42.27,15.85,48.44,78.76,59.39,780.0
Ahmedabad,2015,105.45,95.68,16.1,15.85,2.5,29.29,69.9,118.0
Ahmedabad,2015,71.56,95.68,16.83,15.85,3.51,30.28,57.16,190.0
Ahmedabad,2015,119.8,95.68,24.07,15.85,4.13,50.35,50.49,233.0
Ahmedabad,2015,106.71,95.68,25.59,15.85,5.39,38.85,60.17,297.0
Ahmedabad,2015,118.49,95.68,28.94,15.85,4.11,54.2,53.61,330.0
Ahmedabad,2015,106.01,95.68,27.31,15.85,4.28,70.29,40.91,252.0
Ahmedabad,2015,97.34,95.68,21.58,15.85,3.67,64.39,45.69,244.0
Ahmedabad,2015,83.92,95.68,25.03,15.85,6.42,67.53,34.94,234.0
Ahmedabad,2015,49.51,95.68,14.16,15.85,3.1,48.33,37.95,219.0
Ahmedabad,2015,30.76,95.68,14.14,15.85,2.72,43.62,54.78,118.0
Ahmedabad,2015,50.29,95.68,29.84,15.85,5.34,59.23,45.44,231.0
Ahmedabad,2015,57.69,95.68,29.48,15.85,25.36,58.33,52.87,286.0
Ahmedabad,2015,105.06,95.68,37.05,15.85,46.24,53.62,45.65,883.0
Ahmedabad,2015,94.1,95.68,36.53,15.85,22.14,61.31,46.77,720.0
Ahmedabad,2015,111.89,95.68,43.29,15.85,22.25,66.44,50.57,570.0
Ahmedabad,2015,108.59,95.68,39.34,15.85,25.38,75.8,46.68,589.0
Ahmedabad,2015,130.76,95.68,41.03,15.85,45.61,65.77,41.58,818.0
Ahmedabad,2015,143.55,95.68,31.15,15.85,27.3,50.98,35.38,737.0
Ahmedabad,2015,165.07,95.68,34.48,15.85,23.83,64.32,43.79,585.0
Ahmedabad,2015,166.85,95.68,43.3,15.85,17.93,79.71,53.44,616.0
Ahmedabad,2015,147.38,95.68,35.82,15.85,6.4,46.89,17.94,437.0
Ahmedabad,2015,158.25,95.68,27.89,15.85,5.86,142.36,38.54,321.0
Ahmedabad,2015,237.76,95.68,21.8,15.85,4.99,96.28,39.77,372.0
Ahmedabad,2015,133.37,95.68,17.99,15.85,3.88,57.34,39.66,339.0
Ahmedabad,2015,133.3,95.68,20.0,15.85,6.52,51.58,59.03,339.0
Ahmedabad,2015,96.04,95.68,20.07,15.85,3.8,62.42,46.61,324.0
Ahmedabad,2015,77.69,95.68,18.87,15.85,5.24,100.48,27.14,222.0
Ahmedabad,2015,53.07,95.68,13.82,15.85,4.17,40.36,21.76,169.0
Ahmedabad,2015,63.11,95.68,15.5,15.85,5.63,38.21,4.72,220.0
Ahmedabad,2015,156.76,95.68,16.7,15.85,3.92,26.32,37.11,118.0
Ahmedabad,2015,120.96,95.68,20.86,15.85,4.23,35.54,35.66,303.0
Ahmedabad,2015,138.63,95.68,25.47,15.85,5.65,87.43,29.77,314.0
Ahmedabad,2015,144.36,95.68,30.69,15.85,15.82,66.39,27.34,378.0
Ahmedabad,2015,85.03,95.68,26.7,15.85,3.3,59.16,35.89,415.0
Ahmedabad,2015,134.6,95.68,26.27,15.85,5.9,34.53,7.0,118.0
Ahmedabad,2015,61.06,95.68,14.03,15.85,3.52,8.08,19.54,126.0
Ahmedabad,2015,39.42,95.68,19.56,15.85,5.28,17.66,31.3,175.0
Ahmedabad,2015,111.86,95.68,22.51,15.85,3.89,15.84,31.23,226.0
Ahmedabad,2015,58.37,95.68,21.71,15.85,5.74,25.9,43.92,244.0
Ahmedabad,2015,95.37,95.68,26.23,15.85,18.01,13.59,41.64,315.0
Ahmedabad,2015,141.3,95.68,36.88,15.85,30.8,41.06,37.66,678.0
Ahmedabad,2015,106.68,95.68,46.38,15.85,19.91,31.56,48.49,774.0
Ahmedabad,2015,109.48,95.68,20.27,15.85,4.3,46.6,31.34,285.0
Ahmedabad,2015,126.04,95.68,20.18,15.85,6.99,79.56,28.71,321.0
Ahmedabad,2015,71.22,95.68,21.32,15.85,16.73,50.09,28.39,358.0
Ahmedabad,2015,97.87,95.68,17.96,15.85,6.3,13.85,34.16,357.0
Ahmedabad,2015,63.38,95.68,13.28,15.85,3.44,24.79,43.62,189.0
Ahmedabad,2015,75.29,95.68,14.29,15.85,3.35,76.05,60.71,118.0
Ahmedabad,2015,80.9,95.68,18.62,15.85,5.7,65.44,22.8,214.0
Ahmedabad,2015,103.29,95.68,19.82,15.85,4.55,85.42,22.18,253.0
Ahmedabad,2015,107.5,95.68,15.56,15.85,5.29,74.37,10.12,239.0
